Parameters : 

                   

populationSize = 50

maxRules = 60

maxGenerations = 1500

mutationRate = 0.07

bidPercentage = 0.05

rewardAmount = 2

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.75

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: #01#1# Action: 1 Strength: 26.2415

Condition: #00#0# Action: 0 Strength: 26.2415

Condition: 000#0# Action: 1 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 21.2848

Condition: #01#1# Action: 1 Strength: 21.2848

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #01#1# Action: 1 Strength: 22.2173

Condition: #00#11 Action: 1 Strength: 26.2415

Condition: #01#0# Action: 0 Strength: 26.2415

Condition: #00#1# Action: 0 Strength: 26.2415

Condition: #01#1# Action: 1 Strength: 26.2415

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #0##0# Action: 0 Strength: 22.2173

ALL RULES 

Rule 52: Condition = 0#00##, Action = 0, Strength = 18.1202

Rule 53: Condition = ###0#0, Action = 0, Strength = 5.19454

Rule 54: Condition = 0#01##, Action = 1, Strength = 5.19454

Rule 55: Condition = 1#00##, Action = 0, Strength = 13.5275

Rule 56: Condition = 0#00##, Action = 0, Strength = 13.5275

Rule 57: Condition = 0#10##, Action = 0, Strength = 26.2415

Rule 58: Condition = 0#010#, Action = 1, Strength = 26.2415

Rule 59: Condition = ##11#1, Action = 0, Strength = 13.6293

Rule 60: Condition = 0###1#, Action = 0, Strength = 13.6293


Final Accuracy: 64.0625%

Run : 4

Final High Strength Rules:
Condition: 01#1## Action: 1 Strength: 26.2415

Condition: 01#0## Action: 0 Strength: 26.2415

Condition: 001### Action: 1 Strength: 26.2415

Condition: 10##0# Action: 0 Strength: 25.6455

Condition: 10#### Action: 1 Strength: 24.1209

Condition: 00#1## Action: 0 Strength: 20.5011

Condition: ###10# Action: 0 Strength: 23.0733

Condition: 10#### Action: 0 Strength: 23.0733

Condition: 00#1#0 Action: 0 Strength: 19.7612

Condition: 1##1#1 Action: 0 Strength: 19.7612

Condition: 00#### Action: 1 Strength: 25.1812

Condition: 1001## Action: 1 Strength: 25.1812

Condition: #1#0## Action: 1 Strength: 25.1812

Condition: 10#### Action: 0 Strength: 25.1812

Condition: 01#1#0 Action: 0 Strength: 22.6313

Condition: 1##10# Action: 1 Strength: 22.6313

Condition: 0000#0 Action: 0 Strength: 19.7612

Condition: 1##### Action: 0 Strength: 19.7612

Condition: 01#1## Action: 1 Strength: 26.2415

Condition: 001### Action: 1 Strength: 26.2415

Condition: 1##1#0 Action: 0 Strength: 21.5711

Condition: 10#### Action: 1 Strength: 21.5711

Condition: 11#1#0 Action: 0 Strength: 19.0212

Condition: 1##1#0 Action: 0 Strength: 19.0212

Condition: 01##0# Action: 0 Strength: 23.0733

Condition: 10#0## Action: 0 Strength: 23.0733

Condition: 01#### Action: 0 Strength: 25.1812

Condition: 10#0## Action: 1 Strength: 25.1812

Condition: 10#### Action: 0 Strength: 24.8832

Condition: 10##0# Action: 1 Strength: 24.8832

Condition: 01#1## Action: 0 Strength: 26.2415

Condition: 01#0## Action: 1 Strength: 26.2415

Condition: 01#00# Action: 1 Strength: 23.3713

Condition: 00#0## Action: 0 Strength: 23.3713

Condition: 01#01# Action: 0 Strength: 23.3713

Condition: 00#10# Action: 0 Strength: 23.3713

Condition: 11#0## Action: 1 Strength: 19.1033

Condition: 00#1## Action: 0 Strength: 19.1033

