Parameters : 

                   

populationSize30

maxRules = 50

maxGenerations = 1000

mutationRate = 0.15

bidPercentage = 0.08

rewardAmount = 2.2

repeatCount = 15

taxRate = 0.18

negativeRewardFactor = 0.7

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 24: Condition = #00101, Action = 1, Strength = 18.953

Rule 25: Condition = 00#1##, Action = 0, Strength = 18.953

Rule 26: Condition = ###00#, Action = 0, Strength = 11.6835

Rule 27: Condition = ######, Action = 1, Strength = 11.6835

Rule 28: Condition = 0#11##, Action = 1, Strength = 0.965804

Rule 29: Condition = 0#11##, Action = 1, Strength = 0.965804

Rule 30: Condition = 1##1##, Action = 1, Strength = 13.5886

Rule 31: Condition = 0#1##0, Action = 0, Strength = 13.5886

Rule 32: Condition = #011##, Action = 1, Strength = 9.78593

Rule 33: Condition = ####0#, Action = 0, Strength = 9.78593

Rule 34: Condition = #0####, Action = 1, Strength = 15.3183

Rule 35: Condition = ##0#0#, Action = 1, Strength = 15.3183

Rule 36: Condition = #1#0##, Action = 0, Strength = 18.9528

Rule 37: Condition = 0110##, Action = 0, Strength = 18.9528

Rule 38: Condition = #00#00, Action = 0, Strength = 18.953

Rule 39: Condition = 01#0##, Action = 0, Strength = 18.953

Rule 40: Condition = 01##0#, Action = 0, Strength = 10.0504

Rule 41: Condition = #0#0##, Action = 1, Strength = 10.0504

Rule 42: Condition = 01#0##, Action = 0, Strength = 18.9528

Rule 43: Condition = 01#0##, Action = 0, Strength = 18.9528

Rule 44: Condition = 01#0##, Action = 0, Strength = 18.9528

Rule 45: Condition = 0110##, Action = 0, Strength = 18.9528

Rule 46: Condition = 0##01#, Action = 1, Strength = 9.87912

Rule 47: Condition = #1110#, Action = 0, Strength = 9.87912

Rule 48: Condition = 0#110#, Action = 1, Strength = 17.2234

Rule 49: Condition = #00#0#, Action = 0, Strength = 17.2234

Rule 50: Condition = 1#111#, Action = 1, Strength = 13.5886


Final Accuracy: 68.75%

Run : 3

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 11###1, Action = 1, Strength = 18.7496

Rule 2: Condition = 10##1#, Action = 1, Strength = 18.5714

Rule 3: Condition = #1#0#0, Action = 0, Strength = 17.9287

Rule 4: Condition = 10####, Action = 0, Strength = 16.9715

Rule 5: Condition = ##00##, Action = 0, Strength = 16.1936

Rule 6: Condition = ##000#, Action = 0, Strength = 17.3825

Rule 7: Condition = 10##10, Action = 1, Strength = 17.3825

Rule 8: Condition = 0#####, Action = 1, Strength = 12.4231

Rule 9: Condition = 10##1#, Action = 0, Strength = 12.4231

Rule 10: Condition = 10##1#, Action = 1, Strength = 18.6605

Rule 11: Condition = 11#0#1, Action = 0, Strength = 18.6605

Rule 12: Condition = #0###1, Action = 0, Strength = 13.6712

Rule 13: Condition = 1#####, Action = 0, Strength = 13.6712

Rule 14: Condition = 1#00#1, Action = 0, Strength = 8.73153

Rule 15: Condition = 10###0, Action = 0, Strength = 8.73153

Rule 16: Condition = 001#11, Action = 1, Strength = 3.65446

Rule 17: Condition = #01###, Action = 0, Strength = 3.65446

