Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 1000

MutationRate = 0.1

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.25

StrengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: 01#1## Action: 1 Strength: 26.2414

Condition: 11###1 Action: 1 Strength: 22.0862

Condition: #1#### Action: 0 Strength: 20.7299

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: #1#### Action: 1 Strength: 23.4857

Condition: 11#1## Action: 1 Strength: 23.4857

Condition: 01#### Action: 0 Strength: 23.4857

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: ###### Action: 1 Strength: 23.4857

Condition: 0###0# Action: 1 Strength: 20.7316

Condition: #1#1## Action: 1 Strength: 20.7316

Condition: 010##1 Action: 0 Strength: 24.1638

Condition: 11#### Action: 1 Strength: 24.1638

Condition: #101## Action: 0 Strength: 23.4857

Condition: 01#### Action: 1 Strength: 23.4857

Condition: 11#### Action: 0 Strength: 21.408

Condition: 11###1 Action: 1 Strength: 21.408

Condition: 01#### Action: 0 Strength: 23.4857

Condition: #0#### Action: 1 Strength: 23.4857

ALL RULES 

Condition: 01#### Action: 0 Strength: 26.0387

Condition: 10###0 Action: 0 Strength: 25.1525

Condition: 11##11 Action: 1 Strength: 25.1525

Condition: 000#0# Action: 0 Strength: 26.2415

Condition: 10#### Action: 0 Strength: 26.2415

Condition: 01#### Action: 1 Strength: 20.0871

Condition: 101### Action: 1 Strength: 20.0871

Condition: 11#### Action: 0 Strength: 26.0387

Condition: 000##1 Action: 1 Strength: 26.0387

Condition: 11#### Action: 0 Strength: 25.1525

Condition: 000### Action: 0 Strength: 25.1525

Condition: 00##0# Action: 1 Strength: 20.0872

Condition: #1#### Action: 1 Strength: 20.0872

Condition: 01#### Action: 0 Strength: 23.1673

Condition: 0100#1 Action: 1 Strength: 23.1673

Condition: 000### Action: 0 Strength: 26.2414

Condition: 001#1# Action: 1 Strength: 26.2414

Condition: 11#101 Action: 1 Strength: 24.9498

Condition: 11###1 Action: 0 Strength: 24.9498

Condition: 001##1 Action: 1 Strength: 26.0387

Condition: 11#### Action: 1 Strength: 26.0387

Condition: 00#### Action: 0 Strength: 26.2415

Condition: 100#0# Action: 0 Strength: 26.2415

Condition: 011#0# Action: 0 Strength: 23.37

Condition: 1000## Action: 0 Strength: 23.37

ALL RULES 

Rule 1: Condition = 10##1#, Action = 1, Strength = 26.2415

Rule 2: Condition = 10##0#, Action = 0, Strength = 26.2415

Rule 3: Condition = 001###, Action = 1, Strength = 26.2414

Rule 4: Condition = 000###, Action = 0, Strength = 26.2414

Rule 5: Condition = 11###1, Action = 1, Strength = 25.8359

Rule 6: Condition = 11####, Action = 0, Strength = 24.0636

Rule 7: Condition = 0110##, Action = 0, Strength = 20.4986

Rule 8: Condition = #1####, Action = 1, Strength = 13.9329

Rule 9: Condition = 001#10, Action = 1, Strength = 1.04377

Rule 10: Condition = 10####, Action = 1, Strength = 1.01711

Rule 11: Condition = 100###, Action = 0, Strength = 1.01711

Rule 12: Condition = 10####, Action = 0, Strength = 1.01711

Rule 13: Condition = 00##1#, Action = 1, Strength = 13.2673

Rule 14: Condition = 000###, Action = 1, Strength = 13.2673

Rule 15: Condition = 000###, Action = 1, Strength = 26.2415

Rule 16: Condition = 10####, Action = 0, Strength = 26.2415

Rule 17: Condition = 11####, Action = 0, Strength = 25.1525

Rule 18: Condition = 001###, Action = 1, Strength = 25.1525

Rule 19: Condition = 11##0#, Action = 0, Strength = 25.1525

Rule 20: Condition = #0####, Action = 0, Strength = 25.1525

Rule 21: Condition = 10##1#, Action = 1, Strength = 25.1525

Rule 22: Condition = #0###1, Action = 0, Strength = 25.1525

Rule 23: Condition = 0#1#0#, Action = 0, Strength = 26.2415

Rule 24: Condition = 10####, Action = 1, Strength = 26.2415

Rule 25: Condition = 01####, Action = 1, Strength = 26.0387

Rule 26: Condition = 101##0, Action = 1, Strength = 26.0387

